"","Exposure","Comment","Detect","Nondetect","detect_freq","keep","pfas_flag","creatinine"
"1","URXMBP","URDMBPLC",784,9,0.988650693568726,"Keep","","URXUCR.x"
"2","URXMCP","URDMCPLC",70,723,0.0882723833543506,"Drop","","URXUCR.x"
"3","URXMEP","URDMEPLC",788,2,0.99746835443038,"Keep","","URXUCR.x"
"4","URXMHP","URDMHPLC",566,227,0.71374527112232,"Keep","","URXUCR.x"
"5","URXMNP","URDMNPLC",48,745,0.0605296343001261,"Drop","","URXUCR.x"
"6","URXMOP","URDMOPLC",48,745,0.0605296343001261,"Drop","","URXUCR.x"
"7","URXMZP","URDMZPLC",753,40,0.949558638083228,"Keep","","URXUCR.x"
"8","URXDAZ","URDDAZLC",748,50,0.93734335839599,"Keep","","URXUCR.x"
"9","URXDMA","URDDMALC",515,243,0.679419525065963,"Keep","","URXUCR.x"
"10","URXEQU","URDEQULC",505,249,0.669761273209549,"Keep","","URXUCR.x"
"11","URXETD","URDETDLC",738,53,0.932996207332491,"Keep","","URXUCR.x"
"12","URXETL","URDETLLC",778,20,0.974937343358396,"Keep","","URXUCR.x"
"13","URXGNS","URDGNSLC",761,37,0.953634085213033,"Keep","","URXUCR.x"
"14","URXP09","URDP09LC",240,81,0.747663551401869,"Keep","","URXUCR.x"
"15","LBXV4C","LBDV4CLC",45,72,0.384615384615385,"Drop","",""
"16","LBXVBF","LBDVBFLC",65,18,0.783132530120482,"Keep","",""
"17","LBXVBM","LBDVBMLC",86,1,0.988505747126437,"Keep","",""
"18","LBXVBZ","LBDVBZLC",55,41,0.572916666666667,"Keep","",""
"19","LBXVCF","LBDVCFLC",81,4,0.952941176470588,"Keep","",""
"20","LBXVCM","LBDVCMLC",71,18,0.797752808988764,"Keep","",""
"21","LBXVCT","LBDVCTLC",10,75,0.117647058823529,"Drop","",""
"22","LBXVDB","LBDVDBLC",53,39,0.576086956521739,"Keep","",""
"23","LBXVEB","LBDVEBLC",70,31,0.693069306930693,"Keep","",""
"24","LBXVME","LBDVMELC",74,5,0.936708860759494,"Keep","",""
"25","LBXVOX","LBDVOXLC",55,62,0.47008547008547,"Drop","",""
"26","LBXVST","LBDVSTLC",72,44,0.620689655172414,"Keep","",""
"27","LBXVTC","LBDVTCLC",3,108,0.027027027027027,"Drop","",""
"28","LBXVTO","LBDVTOLC",109,4,0.964601769911504,"Keep","",""
"29","LBXVXY","LBDVXYLC",108,3,0.972972972972973,"Keep","",""
"30","URX24D","URD24DLC",101,377,0.211297071129707,"Drop","","URXUCR.y"
"31","URX25T","URD25TLC",0,491,0,"Drop","","URXUCR.y"
"32","URXATZ","URDATZLC",2,482,0.00413223140495868,"Drop","","URXUCR.y"
"33","URXCBF","URDCBFLC",5,486,0.010183299389002,"Drop","","URXUCR.y"
"34","URXDEE","URDDEELC",46,449,0.0929292929292929,"Drop","","URXUCR.y"
"35","URXCPM","URDCPMLC",367,123,0.748979591836735,"Keep","","URXUCR.y"
"36","URXPAR","URDPARLC",199,286,0.410309278350515,"Drop","","URXUCR.y"
"37","URXPPX","URDPPXLC",2,484,0.00411522633744856,"Drop","","URXUCR.y"
"38","URXOP1","URDOP1LC",240,248,0.491803278688525,"Drop","","URXUCR.y"
"39","URXOP2","URDOP2LC",269,219,0.551229508196721,"Keep","","URXUCR.y"
"40","URXOP3","URDOP3LC",265,222,0.544147843942505,"Keep","","URXUCR.y"
"41","URXOP4","URDOP4LC",339,149,0.694672131147541,"Keep","","URXUCR.y"
"42","URXOP5","URDOP5LC",192,295,0.394250513347023,"Drop","","URXUCR.y"
"43","URXOP6","URDOP6LC",133,354,0.273100616016427,"Drop","","URXUCR.y"
"44","URX4FP","URD4FPLC",3,491,0.00607287449392713,"Drop","","URXUCR.y"
"45","URXCB3","URDCB3LC",2,478,0.00416666666666667,"Drop","","URXUCR.y"
"46","URXCCC","URDCCCLC",193,302,0.38989898989899,"Drop","","URXUCR.y"
"47","URXTCC","URDTCCLC",495,0,1,"Keep","","URXUCR.y"
"48","URXOPM","URDOPMLC",342,155,0.688128772635815,"Keep","","URXUCR.y"
"49","URXDIZ","URDDIZLC",50,442,0.101626016260163,"Drop","","URXUCR.y"
"50","URXUBA","URDUBALC",694,22,0.96927374301676,"Keep","","URXUCR"
"51","URXUBE","URDUBELC",18,746,0.0235602094240838,"Drop","","URXUCR"
"52","URXUCO","URDUCOLC",728,36,0.952879581151832,"Keep","","URXUCR"
"53","URXUCS","URDUCSLC",763,1,0.99869109947644,"Keep","","URXUCR"
"54","URXUMO","URDUMOLC",728,1,0.998628257887517,"Keep","","URXUCR"
"55","URXUPB","URDUPBLC",756,8,0.989528795811518,"Keep","","URXUCR"
"56","URXUPT","URDUPTLC",23,741,0.0301047120418848,"Drop","","URXUCR"
"57","URXUSB","URDUSBLC",692,42,0.942779291553134,"Keep","","URXUCR"
"58","URXUTL","URDUTLLC",739,13,0.982712765957447,"Keep","","URXUCR"
"59","URXUTU","URDUTULC",473,261,0.64441416893733,"Keep","","URXUCR"
"60","URDUCD","URDUCDLC",701,28,0.96159122085048,"Keep","","URXUCR"
"61","LBX052LA","LBD052LC",41,694,0.0557823129251701,"Drop","",""
"62","LBX066LA","LBD066LC",86,688,0.111111111111111,"Drop","",""
"63","LBX074LA","LBD074LC",683,96,0.876765083440308,"Keep","",""
"64","LBX099LA","LBD099LC",591,177,0.76953125,"Keep","",""
"65","LBX101LA","LBD101LC",24,757,0.030729833546735,"Drop","",""
"66","LBX105LA","LBD105LC",261,515,0.336340206185567,"Drop","",""
"67","LBX118LA","LBD118LC",706,72,0.90745501285347,"Keep","",""
"68","LBX128LA","LBD128LC",9,769,0.0115681233933162,"Drop","",""
"69","LBX138LA","LBD138LC",694,82,0.894329896907217,"Keep","",""
"70","LBX146LA","LBD146LC",551,223,0.711886304909561,"Keep","",""
"71","LBX153LA","LBD153LC",727,50,0.935649935649936,"Keep","",""
"72","LBX156LA","LBD156LC",606,165,0.785992217898833,"Keep","",""
"73","LBX157LA","LBD157LC",80,692,0.103626943005181,"Drop","",""
"74","LBX167LA","LBD167LC",139,632,0.180285343709468,"Drop","",""
"75","LBX170LA","LBD170LC",683,58,0.921727395411606,"Keep","",""
"76","LBX172LA","LBD172LC",170,591,0.223390275952694,"Drop","",""
"77","LBX177LA","LBD177LC",217,547,0.284031413612565,"Drop","",""
"78","LBX178LA","LBD178LC",249,527,0.320876288659794,"Drop","",""
"79","LBX180LA","LBD180LC",740,37,0.952380952380952,"Keep","",""
"80","LBX183LA","LBD183LC",382,396,0.491002570694087,"Drop","",""
"81","LBX187LA","LBD187LC",706,73,0.906290115532734,"Keep","",""
"82","LBXD01LA","LBDD01LC",281,457,0.380758807588076,"Drop","",""
"83","LBXD03LA","LBDD03LC",594,137,0.812585499316005,"Keep","",""
"84","LBXD04LA","LBDD04LC",291,435,0.400826446280992,"Drop","",""
"85","LBXD05LA","LBDD05LC",667,59,0.918732782369146,"Keep","",""
"86","LBXD07LA","LBDD07LC",659,59,0.917827298050139,"Keep","",""
"87","LBXF01LA","LBDF01LC",3,731,0.00408719346049046,"Drop","",""
"88","LBXF02LA","LBDF02LC",4,734,0.00542005420054201,"Drop","",""
"89","LBXF03LA","LBDF03LC",556,175,0.760601915184679,"Keep","",""
"90","LBXF04LA","LBDF04LC",551,176,0.757909215955983,"Keep","",""
"91","LBXF05LA","LBDF05LC",445,290,0.605442176870748,"Keep","",""
"92","LBXF06LA","LBDF06LC",0,722,0,"Drop","",""
"93","LBXF07LA","LBDF07LC",64,664,0.0879120879120879,"Drop","",""
"94","LBXF08LA","LBDF08LC",531,161,0.767341040462428,"Keep","",""
"95","LBXF10LA","LBDF10LC",4,711,0.00559440559440559,"Drop","",""
"96","LBXPCBLA","LBDPCBLC",621,110,0.849521203830369,"Keep","",""
"97","LBXTC2LA","LBDTC2LC",3,723,0.00413223140495868,"Drop","",""
"98","LBXTCDLA","LBDTCDLC",68,663,0.0930232558139535,"Drop","",""
"99","LBXGHCLA","LBDGHCLC",18,721,0.0243572395128552,"Drop","",""
"100","LBXHCBLA","LBDHCBLC",69,667,0.09375,"Drop","",""
"101","LBXHPELA","LBDHPELC",533,166,0.762517882689557,"Keep","",""
"102","LBXHXCLA","LBDHXCLC",672,58,0.920547945205479,"Keep","",""
"103","LBXMIRLA","LBDMIRLC",249,504,0.330677290836653,"Drop","",""
"104","LBXODTLA","LBDODTLC",13,697,0.0183098591549296,"Drop","",""
"105","LBXOXYLA","LBDOXYLC",680,20,0.971428571428571,"Keep","",""
"106","LBXPDELA","LBDPDELC",786,0,1,"Keep","",""
"107","LBXPDTLA","LBDPDTLC",419,303,0.580332409972299,"Keep","",""
"108","LBXTNALA","LBDTNALC",766,7,0.990944372574386,"Keep","",""
"109","LBXBPB","LBDBPBLC",2290,112,0.953372189841799,"Keep","",""
"110","LBXBCD","LBDBCDLC",2056,344,0.856666666666667,"Keep","",""
"111","LBXCOT","LBDCOTLC",1694,684,0.712363330529857,"Keep","",""
"112","SEPAH","SEPAHLC",264,47,0.84887459807074,"Keep","PFAS",""
"113","SMPAH","SMPAHLC",293,18,0.942122186495177,"Keep","PFAS",""
"114","SPFDE","SPFDELC",110,201,0.353697749196141,"Drop","PFAS",""
"115","SPFDO","SPFDOLC",4,307,0.0128617363344051,"Drop","PFAS",""
"116","SPFHP","SPFHPLC",21,290,0.067524115755627,"Drop","PFAS",""
"117","SPFHS","SPFHSLC",310,1,0.996784565916399,"Keep","PFAS",""
"118","SPFNA","SPFNALC",297,14,0.954983922829582,"Keep","PFAS",""
"119","SPFOA","SPFOALC",311,0,1,"Keep","PFAS",""
"120","SPFOS","SPFOSLC",311,0,1,"Keep","PFAS",""
"121","SPFSA","SPFSALC",297,14,0.954983922829582,"Keep","PFAS",""
"122","SPFUA","SPFUALC",68,243,0.218649517684887,"Drop","PFAS",""
